MissingMigrants-Global-2024-01-26--01_47_22
Main ID,Year,Total Number of Dead and Missing,Cause of Death,Country of Origin,Location of death,Coordinates,Migration route
2023.MMP0899,2023,1,Drowning,Unknown,"Rio Bravo in Eagle Pass, Maverick County, Texas, United States of America","28.7359228, -100.50626",US-Mexico border crossing
2023.MMP0901,2023,4,Mixed or unknown,Unknown,"Close to the border wall by the Tijuana-Tecate Highway, Tijuana, Baja California, Mexico","32.5568443, -116.85627",US-Mexico border crossing
2023.MMP1014,2023,1,Mixed or unknown,Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.804817, -111.826067",US-Mexico border crossing
2023.MMP1410,2023,1,Drowning,Democratic People's Republic of Korea,"Body stranded on Seokmo Island, Incheon, South Korea","37.69704049, 126.269946",
2023.MMP0927,2023,2,"Harsh environmental conditions / lack of adequate shelter, food, water",Senegal,"Off Nouadhibou, Mauritania","20.90849131, -17.007375",Western Africa / Atlantic route to the Canary Islands
2023.MMP1057,2023,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Ethiopia,"ADO/Obock, Djibouti","12.012737, 43.309745",Eastern Route to/from EHOA
2023.MMP1101,2023,1,Vehicle accident / death linked to hazardous transport,Niger,"Tajarhi, Libya","24.368417, 14.465453",Sahara Desert crossing
2023.MMP0903,2023,1,Drowning,Unknown,"Rio Bravo in Eagle Pass, Maverick County, Texas, United States of America","28.71424981, -100.507028",US-Mexico border crossing
2023.MMP0904,2023,1,Drowning,Unknown,"Rio Bravo in Eagle Pass close to Shelby Park, Maverick County, Texas, United States of America","28.70798343, -100.510744",US-Mexico border crossing
2023.MMP1015,2023,1,Mixed or unknown,Unknown,"Santa Cruz County, Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.68962, -110.86278",US-Mexico border crossing
2023.MMP1367,2023,1,Drowning,Unknown,"Remains recovered at Pserimos, Dodecanese, Greece","36.95042645, 27.171739",Eastern Mediterranean
2023.MMP0902,2023,1,Sickness / lack of access to adequate healthcare,Mexico,"Close to Mariposa Port of Entry, Nogales, Santa Cruz County, Arizona, USA","31.33351248, -110.976526",US-Mexico border crossing
2023.MMP1016,2023,1,Mixed or unknown,Mexico,"1500 West La Quinta Road, Santa Cruz, Arizona, USA","31.35412505, -110.967596",US-Mexico border crossing
2023.MMP1058,2023,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Ethiopia,"ADO/Obock, Djibouti","12.024264, 43.324168",Eastern Route to/from EHOA
2023.MMP1251,2023,5,Violence,Ethiopia,Unspecified location by the Yemeni border in Saudi Arabia - Yemen to Gulf crossing,"18.28006466, 48.353326",Eastern Route to/from EHOA
2023.MMP0910,2023,2,Drowning,Unknown,"Remains washed ashore off Sabratha, Libya","32.8251103, 12.464053",Central Mediterranean
2023.MMP0911,2023,1,Drowning,Unknown,"Remains washed ashore off Azzawiyah, Libya","32.76540473, 12.731254",Central Mediterranean
